product_type,sensor_id,measurement_role,installation_segment_id,first_timestamp_pst,last_timestamp_pst,expected_interval_minutes,expected_timestamp_count_in_span,observed_timestamp_count,absent_timestamp_count,blank_measurement_count,nonmissing_measurement_count,eligible_level_count,range_concern_retained_count,blank_percent_of_rows,absent_percent_of_expected
daily,mid_E2_B,daily_median,mid_E2_B_s05_hx_pa_400_29030259,2008-04-24T00:00:00-08:00,2009-02-11T00:00:00-08:00,1440,294,294,0,1,293,293,154,0.3401360544217687,0.0
daily,mid_E2_B,daily_median,mid_E2_B_s06_hx_vpa_400_27090342,2009-02-12T00:00:00-08:00,2016-05-31T00:00:00-08:00,1440,2666,2666,0,121,2545,2545,590,4.538634658664666,0.0
daily,mid_E2_B,daily_median,mid_E2_B_s07_hx_pa_400_39070751,2016-06-01T00:00:00-08:00,2018-09-25T00:00:00-08:00,1440,847,847,0,30,817,817,20,3.541912632821724,0.0
daily,mid_P1,daily_median,mid_P1_s01_usgs5_depth_1_79m,1997-10-16T00:00:00-08:00,2006-05-03T00:00:00-08:00,1440,3122,3039,83,129,2910,2909,1201,4.244817374136229,2.6585522101217167
daily,mid_P1,daily_median,mid_P1_s02_usgsct2_depth_1_82m,2006-05-04T00:00:00-08:00,2018-09-25T00:00:00-08:00,1440,4528,4528,0,65,4463,4463,2562,1.435512367491166,0.0
daily,mid_P1,daily_median,outside_documented_operation,1997-03-22T00:00:00-08:00,1997-10-15T00:00:00-08:00,1440,208,208,0,7,201,0,0,3.3653846153846154,0.0
daily,mid_P2,daily_median,mid_P2_s01_usgs6_depth_3_69m,1997-10-16T00:00:00-08:00,2018-09-25T00:00:00-08:00,1440,7650,7567,83,188,7379,7379,2962,2.484472049689441,1.0849673202614378
daily,mid_P2,daily_median,outside_documented_operation,1997-03-22T00:00:00-08:00,1997-10-15T00:00:00-08:00,1440,208,208,0,208,0,0,0,100.0,0.0
daily,mid_R,daily_rainfall_maximum,mid_R_s01_pre_fire,1997-03-22T00:00:00-08:00,2002-07-26T00:00:00-08:00,1440,1953,1953,0,114,1839,1838,0,5.837173579109063,0.0
daily,mid_R,daily_rainfall_maximum,mid_R_s02_post_fire,2002-10-18T00:00:00-08:00,2016-01-26T00:00:00-08:00,1440,4849,4849,0,77,4772,4771,0,1.5879562796452877,0.0
daily,mid_R,daily_rainfall_maximum,mid_R_s03_post_mechanical_failure,2016-01-27T00:00:00-08:00,2017-05-17T00:00:00-08:00,1440,477,477,0,0,477,476,0,0.0,0.0
daily,mid_R,daily_rainfall_maximum,mid_R_s04_range_not_stated,2017-05-18T00:00:00-08:00,2018-09-25T00:00:00-08:00,1440,496,496,0,0,496,496,0,0.0,0.0
daily,toe_E5_C,daily_median,outside_documented_operation,2003-02-21T00:00:00-08:00,2006-11-29T00:00:00-08:00,1440,1378,1378,0,1378,0,0,0,100.0,0.0
daily,toe_E5_C,daily_median,toe_E5_C_s01_pre_topple,2006-11-30T00:00:00-08:00,2017-03-15T00:00:00-08:00,1440,3759,3759,0,143,3616,3616,1964,3.8042032455440276,0.0
daily,toe_E5_C,daily_median,toe_E5_C_s02_topple_removed,2017-03-16T00:00:00-08:00,2017-04-24T00:00:00-08:00,1440,40,40,0,1,39,0,0,2.5,0.0
daily,toe_E5_C,daily_median,toe_E5_C_s03_post_relocation,2017-04-25T00:00:00-08:00,2017-09-25T00:00:00-08:00,1440,154,154,0,0,154,154,0,0.0,0.0
daily,toe_M1_A,daily_median,outside_documented_operation,2003-02-21T00:00:00-08:00,2017-09-25T00:00:00-08:00,1440,5331,1480,3851,1480,0,0,0,100.0,72.23785406115175
daily,toe_M1_A,daily_median,toe_M1_A_s01,2006-11-01T00:00:00-08:00,2017-05-17T00:00:00-08:00,1440,3851,3851,0,126,3725,3725,0,3.2718774344326147,0.0
daily,toe_P7_B,daily_median,outside_documented_operation,2003-02-21T00:00:00-08:00,2005-06-14T00:00:00-08:00,1440,845,845,0,845,0,0,0,100.0,0.0
daily,toe_P7_B,daily_median,toe_P7_B_s01_relocated_depth_1_03m,2005-06-15T00:00:00-08:00,2017-09-25T00:00:00-08:00,1440,4486,4486,0,134,4352,4352,164,2.9870708872046365,0.0
