sensor_id,transformation,scope_id,start_date,end_date,n,mean,standard_deviation,minimum,q05,q25,median,q75,q95,maximum,iqr,median_absolute_deviation,range_concern_retained_count
mid_P1,daily_first_difference,mid_P1_s01_usgs5_depth_1_79m,1997-10-17,2006-04-26,2889,0.03274489442713742,8.154956014260572,-39.8,-6.459999999999996,-1.8000000000000043,0.0,0.0,5.679999999999991,114.7,1.8000000000000043,0.30000000000000004,1190
mid_P1,daily_first_difference,mid_P1_s02_usgsct2_depth_1_82m,2006-05-05,2018-09-24,4453,-0.02436559622726251,7.040525705352475,-93.25,-5.099999999999997,-0.30000000000000004,0.0,0.0,1.6,137.79999999999998,0.30000000000000004,0.116,2558
mid_P1,daily_level,mid_P1_s01_usgs5_depth_1_79m,1997-10-16,2006-04-26,2909,38.879047782743214,48.039526565188105,-5.9,-2.8,-0.5,1.8,78.2,128.15999999999997,152.6,78.7,7.3,1201
mid_P1,daily_level,mid_P1_s02_usgsct2_depth_1_82m,2006-05-04,2018-09-24,4463,18.515951153932335,37.80480305674103,-11.1,-3.2,-1.8,-0.3,18.1,115.27999999999993,150.1,19.900000000000002,1.772,2562
mid_P2,daily_first_difference,mid_P2_s01_usgs6_depth_3_69m,1997-10-17,2018-09-25,7349,0.058441556674377455,5.878581513795402,-39.7,-4.400000000000006,-1.2999999999999545,0.0,0.04999999999999993,5.279999999999962,306.8,1.3499999999999543,0.29999999999998295,2951
mid_P2,daily_level,mid_P2_s01_usgs6_depth_3_69m,1997-10-16,2018-09-25,7379,79.3702280796856,96.62457168040757,-2.2,-1.6,-0.8,11.45,164.47500000000002,259.6,306.0,165.27500000000003,13.149999999999999,2962
mid_R,daily_cumulative_difference,mid_R_s01_pre_fire,1997-03-23,2002-07-25,1491,3.148504359490275,9.260421206182825,0.0,0.0,0.0,0.0,0.25,20.574999999999932,88.65,0.25,0.0,0
mid_R,daily_cumulative_difference,mid_R_s02_post_fire,2002-10-19,2016-01-21,4452,2.994245283018868,9.191325995113544,0.0,0.0,0.0,0.0,0.0,19.55449999999998,135.38,0.0,0.0,0
mid_R,daily_cumulative_difference,mid_R_s03_post_mechanical_failure,2016-01-29,2017-05-17,474,5.891518987341773,15.658175265850325,0.0,0.0,0.0,0.0,2.1900000000000546,36.528499999999994,112.27999999999997,2.1900000000000546,0.0,0
mid_R,daily_cumulative_difference,mid_R_s04_range_not_stated,2017-05-19,2018-09-25,494,2.2119433198380563,8.282273469424844,0.0,0.0,0.0,0.0,0.0,13.307000000000004,104.64,0.0,0.0,0
mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY1997,1997-03-22,1997-09-30,193,99.83310880829016,50.11590512536887,0.0,12.7,55.37,135.89,138.43,141.22,141.22,83.06,4.320000000000022,0
mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY1998,1997-10-01,1998-09-30,360,1207.7435555555553,726.336736190186,0.0,70.1,345.19,1498.47,1908.05,1937.26,1937.26,1562.86,438.78999999999996,0
mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY1999,1998-10-01,1999-09-30,319,776.1593103448276,490.6331961191722,0.0,0.25,281.05,1059.94,1231.14,1249.17,1253.74,950.0900000000001,189.23000000000002,0
mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY2000,1999-10-01,2000-09-30,337,711.7810682492582,452.8696514280569,0.0,1.52,186.94,945.9,1148.08,1196.59,1199.64,961.1399999999999,202.17999999999995,0
mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY2001,2000-10-01,2001-09-30,349,431.6208022922637,208.9135110874156,0.0,33.78,254.76,526.54,612.39,612.39,624.08,357.63,85.85000000000002,0
mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY2002,2001-10-01,2002-07-25,280,678.1594285714286,350.5719016741072,0.0,3.05,512.06,747.78,964.44,1019.3,1019.3,452.3800000000001,223.265,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2003,2002-10-18,2003-09-30,346,754.7062427745665,368.08547576523665,0.0,0.0,535.69,781.3,1091.44,1109.73,1109.73,555.75,310.1400000000001,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2004,2003-10-01,2004-09-30,362,558.2734254143646,293.95295813444415,0.0,0.0,381.255,748.79,785.37,785.37,789.18,404.115,36.58000000000004,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2005,2004-10-01,2005-09-30,365,909.1699726027398,490.934250308072,0.0,96.36799999999998,446.53,1081.79,1405.13,1405.38,1408.18,958.6000000000001,323.59000000000015,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2006,2005-10-03,2006-09-30,358,1105.1378212290501,658.5529315005414,0.0,1.02,683.0025,1348.49,1700.02,1700.02,1700.02,1017.0174999999999,351.53,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2007,2006-10-01,2007-09-30,365,518.6322191780822,275.755172469508,0.25,17.02,298.2,649.48,766.57,767.59,780.03,468.37000000000006,117.60000000000002,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2008,2007-10-01,2008-09-30,366,496.4067486338798,262.560594921561,0.0,43.945,200.41,655.07,715.01,715.01,715.01,514.6,59.93999999999994,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2009,2008-10-01,2009-09-30,361,584.357700831025,333.19922071817507,0.0,32.26,272.03,722.63,904.49,905.26,906.02,632.46,182.63,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2010,2009-10-01,2010-09-30,365,679.0271506849316,398.1715220195357,0.0,94.49,284.48,762.25,1091.44,1092.71,1092.71,806.96,329.44000000000005,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2011,2010-10-01,2011-09-30,358,1100.673687150838,537.069965472039,0.0,62.23,805.435,1375.41,1599.95,1649.6705,1650.75,794.5150000000001,275.3399999999999,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2012,2011-10-01,2012-08-21,326,479.57144171779134,311.57350416640116,0.0,92.2,139.7,396.24,805.94,844.04,844.04,666.24,304.04,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2013,2012-10-02,2013-09-30,362,628.5774309392265,280.17427678905153,0.0,0.0,580.39,747.7750000000001,867.07,867.317,905.94,286.68000000000006,119.29499999999996,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2014,2013-10-01,2014-09-30,362,391.97657458563543,262.44985565510683,0.0,0.0,81.03,547.37,637.54,641.35,670.31,556.51,94.23000000000002,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2015,2014-10-01,2015-09-30,362,495.93950276243106,262.9871153870202,0.0,6.068500000000003,331.98,559.05,741.17,759.46,763.27,409.18999999999994,200.41000000000008,0
mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2016,2015-10-01,2016-01-21,113,215.39106194690265,169.37124346579,20.57,20.57,61.21,165.1,400.3,526.6919999999999,567.94,339.09000000000003,104.38999999999999,0
mid_R,daily_cumulative_level,mid_R_s03_post_mechanical_failure__WY2016,2016-01-28,2016-09-30,247,1076.826234817814,159.76621724112434,613.37,710.11,1056.67,1174.45,1175.18,1177.01,1177.92,118.50999999999999,3.4700000000000273,0
mid_R,daily_cumulative_level,mid_R_s03_post_mechanical_failure__WY2017,2016-10-01,2017-05-17,229,1180.4400873362447,791.8429690512869,0.0,8.6,383.87,1283.45,1943.65,2208.936,2228.03,1559.7800000000002,776.8700000000001,0
mid_R,daily_cumulative_level,mid_R_s04_range_not_stated__WY2017,2017-05-18,2017-09-30,136,2249.8063970588237,10.636516463495562,2228.03,2228.03,2250.38,2250.38,2252.92,2273.49,2273.49,2.5399999999999636,0.0,0
mid_R,daily_cumulative_level,mid_R_s04_range_not_stated__WY2018,2017-10-01,2018-09-25,360,679.2737777777777,387.68292998942735,0.0,2.175499999999998,304.29,880.11,1046.73,1046.73,1047.24,742.44,166.62,0
mid_R,daily_interval_sum,mid_R_s01_pre_fire,1997-03-23,2002-07-25,1681,3.1986472337894107,9.290079411208138,0.0,0.0,0.0,0.0,0.254,20.573999999999998,97.282,0.254,0.0,0
mid_R,daily_interval_sum,mid_R_s02_post_fire,2002-10-19,2016-01-21,4188,2.8321895893027698,8.893926286271881,-0.082,0.0,0.0,0.0,0.0,18.542,135.382,0.0,0.0,2
mid_R,daily_interval_sum,mid_R_s03_post_mechanical_failure,2016-01-28,2017-05-17,474,5.705934177215189,15.155346340237644,0.0,0.0,0.0,0.0,2.19456,35.853623999999975,112.2884,2.19456,0.0,0
mid_R,daily_interval_sum,mid_R_s04_range_not_stated,2017-05-18,2018-09-24,495,2.207491797979798,8.274737769406956,0.0,0.0,0.0,0.0,0.0,13.258799999999955,104.648,0.0,0.0,0
toe_E5_C,daily_first_difference,toe_E5_C_s01_pre_topple,2006-12-01,2017-03-15,3584,0.11434151785714287,0.8741365255835247,-4.500000000000028,-0.4,0.0,0.0,0.19999999999999996,0.4999999999999998,16.0,0.19999999999999996,0.19999999999999973,1947
toe_E5_C,daily_first_difference,toe_E5_C_s03_post_relocation,2017-04-26,2017-09-25,153,0.054248366013071966,0.3282703731811577,-0.4000000000000341,-0.19999999999998863,0.0,0.0,0.0,0.20000000000001136,2.400000000000034,0.0,0.0,0
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2007,2006-11-30,2007-09-30,305,1.2400000000000002,1.2366550810447043,-2.5,-0.8,0.2,1.6,2.3,2.7,3.0,2.0999999999999996,0.8999999999999999,56
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2008,2007-10-01,2008-09-30,364,0.5193681318681317,1.0374873687973898,-1.8,-1.2,-0.2,0.4,1.525,1.95,2.3,1.7249999999999999,0.9,126
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2009,2008-10-01,2009-09-30,363,-0.18264462809917353,1.1229347663083757,-2.7,-2.085,-1.0,-0.4,0.8500000000000001,1.4,1.7,1.85,0.8,198
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2010,2009-10-01,2010-09-30,364,13.91758241758242,17.273853828694886,-3.8,-1.6,-0.8,0.30000000000000004,36.7,37.1,37.5,37.5,2.1,141
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2011,2010-10-01,2011-09-30,346,137.68179190751442,126.22847241099983,-7.2,-5.375,-1.2,214.2,262.95,263.6,263.8,264.15,49.400000000000034,138
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2012,2011-10-01,2012-08-21,324,-0.03611111111111116,0.5913397183841955,-1.8,-1.0,-0.4,-0.2,0.6,0.8,1.0,1.0,0.4,168
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2013,2012-10-02,2013-09-30,336,0.29791666666666666,0.70238090118415,-1.6,-1.0,-0.2,0.4,1.0,1.2,1.4,1.2,0.6,100
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2014,2013-10-01,2014-09-30,363,-0.38911845730027556,0.541048495866481,-2.5,-1.8,-0.6,-0.2,-0.2,0.2,0.6,0.39999999999999997,0.2,289
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2015,2014-10-01,2015-09-30,362,-0.6187845303867403,0.3188112667462515,-2.1,-1.2,-0.8,-0.6,-0.4,-0.2,0.0,0.4,0.20000000000000007,355
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2016,2015-10-01,2016-09-30,366,-0.5213114754098361,0.45400431623017135,-2.3,-1.2,-0.8,-0.4,-0.2,0.2,0.4,0.6000000000000001,0.2,312
toe_E5_C,daily_level,toe_E5_C_s01_pre_topple__WY2017,2016-10-01,2017-03-15,123,13.73739837398374,31.03490472369538,-2.1,-1.4,-0.9,-0.6,4.7,95.47999999999989,118.3,5.6000000000000005,0.6,81
toe_E5_C,daily_level,toe_E5_C_s03_post_relocation__WY2017,2017-04-25,2017-09-25,154,291.1935064935065,0.932469861411733,282.8,290.9,291.3,291.3,291.3,291.7,292.0,0.0,0.0,0
toe_M1_A,daily_first_difference,toe_M1_A_s01,2006-11-03,2017-05-17,3710,3.5363881401617226e-05,0.016751059010145612,-0.06844999999999996,-0.011955000000000014,-0.0041999999999999815,-0.0012000000000000066,0.0,0.017364999999999922,0.20350000000000001,0.0041999999999999815,0.001799999999999996,0
toe_M1_A,daily_level,toe_M1_A_s01,2006-11-02,2017-05-17,3725,0.15735958389261745,0.09401561165246133,0.0092,0.0348,0.0651,0.1431,0.2514,0.296,0.3701,0.18630000000000002,0.0889,0
toe_P7_B,daily_first_difference,toe_P7_B_s01_relocated_depth_1_03m,2005-06-16,2017-09-25,4333,-0.001927071313177933,6.048438792042811,-37.6,-6.100000000000001,-0.30000000000000027,0.0,0.1499999999999999,3.5,69.5,0.4500000000000002,0.20000000000000018,163
toe_P7_B,daily_level,toe_P7_B_s01_relocated_depth_1_03m,2005-06-15,2017-09-25,4352,14.964062499999999,21.101634764722306,-8.5,0.4,3.2,5.9,10.3,66.14499999999998,87.55,7.1000000000000005,3.0000000000000004,164
