run_id,sensor_id,transformation,scope_id,start_date,end_date,n,lag_days,maximum_lag_days,acf,pacf,approximate_95_percent_bound
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,21,60,-0.05103638406956559,0.04882136806033528,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,22,60,-0.046590034827525106,0.04662998522513874,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,23,60,-0.03755193578897484,0.06331606312320542,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,24,60,-0.0282289314532407,-0.001878267223547238,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,25,60,-0.01767743312253157,0.018033858091102552,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,26,60,-0.00014397613158805795,0.01298676692788281,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,27,60,0.046521047496411755,0.17528767169395248,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,28,60,0.09689631510819266,0.010093646099844422,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,29,60,0.12113063226373467,-0.07442356441959777,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,30,60,0.1795678694815495,0.18903168148571706,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,31,60,0.2291480314447147,-0.0011325455309345227,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,32,60,0.21349002131373124,-0.14185287233664556,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,33,60,0.1951180462994959,-0.11873001829510456,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,34,60,0.19238348702842367,0.023339064095934368,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,35,60,0.19358021527402547,0.11390555960673321,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,36,60,0.19620324888477497,-0.0732595940640287,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,37,60,0.2403874119635823,0.07167310275620449,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,38,60,0.2757477648293065,-0.06275164264963405,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,39,60,0.26389065036757225,0.03540287293354743,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,40,60,0.2596871282074606,0.04324792694649818,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,41,60,0.25282880668722607,0.01561629649314888,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,42,60,0.2112888509156252,-0.09322827009330592,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,43,60,0.17132323883854084,0.023687138344383653,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,44,60,0.1346275625586809,-0.08113314984080623,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,45,60,0.10019817841551128,0.027922228713483727,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,46,60,0.07599300936901034,0.007023074445976609,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,47,60,0.05982905040795032,-0.036381621001973154,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,48,60,0.04283157979573858,-0.0072722135315454045,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,49,60,0.026207887286949973,-0.007098080058780681,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,50,60,0.010673793883000923,0.04095490406601722,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,51,60,-0.00848167069849019,0.012827897594948689,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,52,60,-0.02255975145418098,0.04959325216674627,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,53,60,-0.03931764261194288,-0.0524892803330753,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,54,60,-0.05033946654329711,0.052013318198742046,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,55,60,-0.0577481732967277,-0.012524735556846136,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,56,60,-0.07140537122703337,0.008008042673185955,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,57,60,-0.07814714058023817,-0.034284293131071134,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,58,60,-0.08104268842145981,-0.09601225990787042,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,59,60,-0.08678728923452095,0.004535982138911137,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,60,60,-0.09064763001393385,-0.026005822839483307,0.102731913998748
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,0,60,1.0,1.0,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,1,60,0.8078236712576063,0.8078236712576063,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,2,60,0.7086579025464067,0.16141463019206212,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,3,60,0.6462456773702602,0.10575917775734896,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,4,60,0.6276000393320283,0.15480500283625995,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,5,60,0.6034434040537971,0.06946977708145992,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,6,60,0.6433631434559518,0.24857213580848622,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,7,60,0.6441536989955013,0.07244443172403187,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,8,60,0.5872240947975692,-0.09769156623025509,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,9,60,0.5518794949356206,0.025570218002214713,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,10,60,0.5173335147800887,-0.03243417636792078,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,11,60,0.4770858353659953,-0.050599161084782726,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,12,60,0.4557068694252219,-0.009098701868457432,0.11671630149838108
