run_id,window_id,target_id,segment_id,water_year,run_start_date,run_end_date,run_length_days,method,setting,minimum_segment_length_days,candidate_date,candidate_index
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2013__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2013,2012-10-03,2013-04-18,198,Binseg_l2,n_bkps_3,30,2012-11-27,55
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2013__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2013,2012-10-03,2013-04-18,198,Binseg_l2,n_bkps_3,30,2012-12-27,85
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2013__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2013,2012-10-03,2013-04-18,198,Binseg_l2,n_bkps_3,30,2013-01-26,115
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2014,2014-04-03,2014-09-30,181,Binseg_l2,n_bkps_1,30,2014-07-14,102
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2014,2014-04-03,2014-09-30,181,Binseg_l2,n_bkps_2,30,2014-07-14,102
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2014,2014-04-03,2014-09-30,181,Binseg_l2,n_bkps_2,30,2014-08-13,132
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2014,2014-04-03,2014-09-30,181,Binseg_l2,n_bkps_3,30,2014-06-14,72
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2014,2014-04-03,2014-09-30,181,Binseg_l2,n_bkps_3,30,2014-07-14,102
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2014,2014-04-03,2014-09-30,181,Binseg_l2,n_bkps_3,30,2014-08-13,132
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2015,2014-10-02,2015-04-07,188,Binseg_l2,n_bkps_1,30,2014-11-03,32
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2015,2014-10-02,2015-04-07,188,Binseg_l2,n_bkps_2,30,2014-11-03,32
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2015,2014-10-02,2015-04-07,188,Binseg_l2,n_bkps_2,30,2014-12-04,63
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2015,2014-10-02,2015-04-07,188,Binseg_l2,n_bkps_3,30,2014-11-03,32
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2015,2014-10-02,2015-04-07,188,Binseg_l2,n_bkps_3,30,2014-12-04,63
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2015,2014-10-02,2015-04-07,188,Binseg_l2,n_bkps_3,30,2015-01-03,93
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2007,2006-12-01,2007-09-30,304,Binseg_l2,n_bkps_1,30,2007-02-27,88
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2007,2006-12-01,2007-09-30,304,Binseg_l2,n_bkps_2,30,2007-02-27,88
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2007,2006-12-01,2007-09-30,304,Binseg_l2,n_bkps_2,30,2007-04-02,122
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2007,2006-12-01,2007-09-30,304,Binseg_l2,n_bkps_3,30,2007-01-27,57
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2007,2006-12-01,2007-09-30,304,Binseg_l2,n_bkps_3,30,2007-02-27,88
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2007__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2007,2006-12-01,2007-09-30,304,Binseg_l2,n_bkps_3,30,2007-04-02,122
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2008,2007-12-31,2008-09-30,275,Binseg_l2,n_bkps_1,30,2008-08-16,229
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2008,2007-12-31,2008-09-30,275,Binseg_l2,n_bkps_2,30,2008-02-18,49
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2008,2007-12-31,2008-09-30,275,Binseg_l2,n_bkps_2,30,2008-08-16,229
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2008,2007-12-31,2008-09-30,275,Binseg_l2,n_bkps_3,30,2008-02-18,49
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2008,2007-12-31,2008-09-30,275,Binseg_l2,n_bkps_3,30,2008-05-29,150
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2008__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2008,2007-12-31,2008-09-30,275,Binseg_l2,n_bkps_3,30,2008-08-16,229
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2009,2009-02-19,2009-09-30,224,Binseg_l2,n_bkps_1,30,2009-03-21,30
