window_id,target_id,window_role,stage,model_id,model_family,horizon_days,forecast_count,lag_in_origin_sequence,residual_acf,residual_bias,residual_skewness,residual_excess_kurtosis,median_absolute_error,q95_absolute_error,ljung_box_lag,ljung_box_statistic,ljung_box_p_value,ljung_box_caveat
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,0,1.0,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,1,0.09982534322120938,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,2,-0.09630381339442735,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,3,0.1247776873368036,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,4,0.05205010774143814,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,5,0.09158772447667096,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,6,-0.02167999409986455,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,7,-0.05563910580751807,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,8,-0.056997656825293376,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,9,-0.019462326941758135,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,1,61,10,-0.08024567647035247,-0.003967054831820024,0.21033765480848998,-0.0524894840549881,0.14857437670349705,0.31295544804296355,10,4.034213034510614,0.9457903715520931,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,2,61,0,1.0,0.007301083485533747,0.4107746101287191,1.2127049124452345,0.03972632419676324,0.3160241877708849,10,5.849808977594925,0.8277197870206408,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,2,61,1,0.1892871762453926,0.007301083485533747,0.4107746101287191,1.2127049124452345,0.03972632419676324,0.3160241877708849,10,5.849808977594925,0.8277197870206408,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,2,61,2,-0.06623297068067373,0.007301083485533747,0.4107746101287191,1.2127049124452345,0.03972632419676324,0.3160241877708849,10,5.849808977594925,0.8277197870206408,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,2,61,3,0.04041104833245215,0.007301083485533747,0.4107746101287191,1.2127049124452345,0.03972632419676324,0.3160241877708849,10,5.849808977594925,0.8277197870206408,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,2,61,4,-0.01750153711674021,0.007301083485533747,0.4107746101287191,1.2127049124452345,0.03972632419676324,0.3160241877708849,10,5.849808977594925,0.8277197870206408,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,2,61,5,-0.07820178685426167,0.007301083485533747,0.4107746101287191,1.2127049124452345,0.03972632419676324,0.3160241877708849,10,5.849808977594925,0.8277197870206408,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
middle_stable_2009_2016,mid_E2_B,primary,evaluation,arima_ar1,ARIMA,2,61,6,0.06206532270049,0.007301083485533747,0.4107746101287191,1.2127049124452345,0.03972632419676324,0.3160241877708849,10,5.849808977594925,0.8277197870206408,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
