window_id,target_id,stage,model_id,model_family,horizon_days,status,attempt_count,fraction_of_scheduled_attempts
middle_stable_2009_2016,mid_E2_B,evaluation,prior_year_same_date,baseline,1,feature_unavailable,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,prior_year_same_date,baseline,1,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,prior_year_same_date,baseline,1,ok,57,0.9193548387096774
middle_stable_2009_2016,mid_E2_B,evaluation,prior_year_same_date,baseline,2,feature_unavailable,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,prior_year_same_date,baseline,2,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,prior_year_same_date,baseline,2,ok,57,0.9193548387096774
middle_stable_2009_2016,mid_E2_B,evaluation,prior_year_same_date,baseline,7,feature_unavailable,2,0.03225806451612903
middle_stable_2009_2016,mid_E2_B,evaluation,prior_year_same_date,baseline,7,ineligible_core_origin,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,prior_year_same_date,baseline,7,ok,56,0.9032258064516129
middle_stable_2009_2016,mid_E2_B,evaluation,zero_change,baseline,1,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,zero_change,baseline,1,ok,61,0.9838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,zero_change,baseline,2,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,zero_change,baseline,2,ok,61,0.9838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,zero_change,baseline,7,ineligible_core_origin,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,zero_change,baseline,7,ok,58,0.9354838709677419
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1,ARIMA,1,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1,ARIMA,1,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1,ARIMA,2,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1,ARIMA,2,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1,ARIMA,7,ineligible_core_origin,12,0.12903225806451613
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1,ARIMA,7,ok,81,0.8709677419354839
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1_weekly,ARIMA,1,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1_weekly,ARIMA,1,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1_weekly,ARIMA,2,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1_weekly,ARIMA,2,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1_weekly,ARIMA,7,ineligible_core_origin,12,0.12903225806451613
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1_weekly,ARIMA,7,ok,81,0.8709677419354839
middle_stable_2009_2016,mid_E2_B,selection,arima_ar2,ARIMA,1,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,arima_ar2,ARIMA,1,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,arima_ar2,ARIMA,2,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,arima_ar2,ARIMA,2,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,arima_ar2,ARIMA,7,ineligible_core_origin,12,0.12903225806451613
middle_stable_2009_2016,mid_E2_B,selection,arima_ar2,ARIMA,7,ok,81,0.8709677419354839
middle_stable_2009_2016,mid_E2_B,selection,arima_arma11,ARIMA,1,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,arima_arma11,ARIMA,1,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,arima_arma11,ARIMA,2,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,arima_arma11,ARIMA,2,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,arima_arma11,ARIMA,7,ineligible_core_origin,12,0.12903225806451613
middle_stable_2009_2016,mid_E2_B,selection,arima_arma11,ARIMA,7,ok,81,0.8709677419354839
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,ARIMA,1,fit_failure,3,0.03225806451612903
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,ARIMA,1,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,ARIMA,1,ok,82,0.8817204301075269
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,ARIMA,2,fit_failure,3,0.03225806451612903
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,ARIMA,2,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,ARIMA,2,ok,82,0.8817204301075269
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,ARIMA,7,fit_failure,3,0.03225806451612903
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,ARIMA,7,ineligible_core_origin,12,0.12903225806451613
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,ARIMA,7,ok,78,0.8387096774193549
middle_stable_2009_2016,mid_E2_B,selection,expanding_median,baseline,1,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,expanding_median,baseline,1,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,expanding_median,baseline,2,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,expanding_median,baseline,2,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,expanding_median,baseline,7,ineligible_core_origin,12,0.12903225806451613
middle_stable_2009_2016,mid_E2_B,selection,expanding_median,baseline,7,ok,81,0.8709677419354839
middle_stable_2009_2016,mid_E2_B,selection,persistence,baseline,1,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,persistence,baseline,1,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,persistence,baseline,2,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,persistence,baseline,2,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,persistence,baseline,7,ineligible_core_origin,12,0.12903225806451613
middle_stable_2009_2016,mid_E2_B,selection,persistence,baseline,7,ok,81,0.8709677419354839
middle_stable_2009_2016,mid_E2_B,selection,prior_year_same_date,baseline,1,feature_unavailable,4,0.043010752688172046
middle_stable_2009_2016,mid_E2_B,selection,prior_year_same_date,baseline,1,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,prior_year_same_date,baseline,1,ok,81,0.8709677419354839
middle_stable_2009_2016,mid_E2_B,selection,prior_year_same_date,baseline,2,feature_unavailable,6,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,selection,prior_year_same_date,baseline,2,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,prior_year_same_date,baseline,2,ok,79,0.8494623655913979
middle_stable_2009_2016,mid_E2_B,selection,prior_year_same_date,baseline,7,feature_unavailable,5,0.053763440860215055
middle_stable_2009_2016,mid_E2_B,selection,prior_year_same_date,baseline,7,ineligible_core_origin,12,0.12903225806451613
middle_stable_2009_2016,mid_E2_B,selection,prior_year_same_date,baseline,7,ok,76,0.8172043010752689
middle_stable_2009_2016,mid_E2_B,selection,zero_change,baseline,1,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,zero_change,baseline,1,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,zero_change,baseline,2,ineligible_core_origin,8,0.08602150537634409
middle_stable_2009_2016,mid_E2_B,selection,zero_change,baseline,2,ok,85,0.9139784946236559
middle_stable_2009_2016,mid_E2_B,selection,zero_change,baseline,7,ineligible_core_origin,12,0.12903225806451613
middle_stable_2009_2016,mid_E2_B,selection,zero_change,baseline,7,ok,81,0.8709677419354839
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar1,ARIMA,1,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar1,ARIMA,1,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar1,ARIMA,2,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar1,ARIMA,2,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar1,ARIMA,7,ineligible_core_origin,8,0.1
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar1,ARIMA,7,ok,72,0.9
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar2,ARIMA,1,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar2,ARIMA,1,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar2,ARIMA,2,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar2,ARIMA,2,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar2,ARIMA,7,ineligible_core_origin,8,0.1
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar2,ARIMA,7,ok,72,0.9
toe_pre_topple_long,toe_E5_C,evaluation,arima_arma11,ARIMA,1,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,arima_arma11,ARIMA,1,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,arima_arma11,ARIMA,2,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,arima_arma11,ARIMA,2,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,arima_arma11,ARIMA,7,ineligible_core_origin,8,0.1
toe_pre_topple_long,toe_E5_C,evaluation,arima_arma11,ARIMA,7,ok,72,0.9
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,ARIMA,1,fit_failure,6,0.075
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,ARIMA,1,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,ARIMA,1,ok,70,0.875
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,ARIMA,2,fit_failure,6,0.075
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,ARIMA,2,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,ARIMA,2,ok,70,0.875
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,ARIMA,7,fit_failure,6,0.075
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,ARIMA,7,ineligible_core_origin,8,0.1
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,ARIMA,7,ok,66,0.825
toe_pre_topple_long,toe_E5_C,evaluation,arimax_ar1_rain_lag2,conditional_ARIMAX,1,feature_unavailable,1,0.0125
toe_pre_topple_long,toe_E5_C,evaluation,arimax_ar1_rain_lag2,conditional_ARIMAX,1,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,arimax_ar1_rain_lag2,conditional_ARIMAX,1,ok,75,0.9375
toe_pre_topple_long,toe_E5_C,evaluation,arimax_ar1_rain_lag2,conditional_ARIMAX,2,feature_unavailable,1,0.0125
toe_pre_topple_long,toe_E5_C,evaluation,arimax_ar1_rain_lag2,conditional_ARIMAX,2,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,arimax_ar1_rain_lag2,conditional_ARIMAX,2,ok,75,0.9375
toe_pre_topple_long,toe_E5_C,evaluation,arimax_ar1_rain_lag2,conditional_ARIMAX,7,feature_unavailable,80,1.0
toe_pre_topple_long,toe_E5_C,evaluation,expanding_median,baseline,1,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,expanding_median,baseline,1,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,expanding_median,baseline,2,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,expanding_median,baseline,2,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,expanding_median,baseline,7,ineligible_core_origin,8,0.1
toe_pre_topple_long,toe_E5_C,evaluation,expanding_median,baseline,7,ok,72,0.9
toe_pre_topple_long,toe_E5_C,evaluation,persistence,baseline,1,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,persistence,baseline,1,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,persistence,baseline,2,ineligible_core_origin,4,0.05
