window_id,target_id,stage,horizon_days,model_id,reference_model_id,common_origin_count,mean_absolute_error_difference,block_length_origins,bootstrap_replicates,bootstrap_seed,difference_ci_low,difference_ci_high
middle_stable_2009_2016,mid_E2_B,selection,2,arima_ar1_weekly,zero_change,85,-0.010293745438787244,3,1000,170,-0.12380720699384765,0.056290141188086
middle_stable_2009_2016,mid_E2_B,selection,2,arima_ar2,zero_change,85,-0.008359679918157307,3,1000,170,-0.1325492719338765,0.07650565709468571
middle_stable_2009_2016,mid_E2_B,selection,2,arima_arma11,zero_change,85,-0.006270768155511513,3,1000,170,-0.12087695718411814,0.07651784108520543
middle_stable_2009_2016,mid_E2_B,selection,2,arima_mean,zero_change,82,0.05546005149873348,3,1000,170,0.03379462790766495,0.07885803356171603
middle_stable_2009_2016,mid_E2_B,selection,2,expanding_median,zero_change,85,0.0,3,1000,170,0.0,0.0
middle_stable_2009_2016,mid_E2_B,selection,2,persistence,zero_change,85,0.021176470588235526,3,1000,170,-0.12944117647058848,0.14823529411764755
middle_stable_2009_2016,mid_E2_B,selection,2,prior_year_same_date,zero_change,79,0.2708860759493675,3,1000,170,0.05316455696202579,0.6659810126582285
middle_stable_2009_2016,mid_E2_B,selection,2,zero_change,zero_change,85,0.0,3,1000,170,0.0,0.0
middle_stable_2009_2016,mid_E2_B,selection,7,arima_ar1,zero_change,81,-0.009580127984504387,3,1000,170,-0.09438047818212068,0.04345285174651575
middle_stable_2009_2016,mid_E2_B,selection,7,arima_ar1_weekly,zero_change,81,-0.018084024951012204,3,1000,170,-0.11987974301755101,0.043743349832303526
middle_stable_2009_2016,mid_E2_B,selection,7,arima_ar2,zero_change,81,-0.04286486853748588,3,1000,170,-0.17837048524192312,0.037747924157110764
middle_stable_2009_2016,mid_E2_B,selection,7,arima_arma11,zero_change,81,-0.04768272404656069,3,1000,170,-0.1850129166580435,0.031637200969119046
middle_stable_2009_2016,mid_E2_B,selection,7,arima_mean,zero_change,78,0.04690598640078324,3,1000,170,0.021855146148027742,0.07052350868400319
middle_stable_2009_2016,mid_E2_B,selection,7,expanding_median,zero_change,81,0.0,3,1000,170,0.0,0.0
middle_stable_2009_2016,mid_E2_B,selection,7,persistence,zero_change,81,0.05308641975308607,3,1000,170,-0.00987654320987663,0.11361111111111107
middle_stable_2009_2016,mid_E2_B,selection,7,prior_year_same_date,zero_change,76,0.24342105263157876,3,1000,170,0.05789473684210526,0.5488157894736835
middle_stable_2009_2016,mid_E2_B,selection,7,zero_change,zero_change,81,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,evaluation,1,arima_ar1,zero_change,76,0.0747395248516855,3,1000,170,0.046317524969740065,0.1031846488756733
toe_pre_topple_long,toe_E5_C,evaluation,1,arima_ar2,zero_change,76,0.06558140757283827,3,1000,170,0.04164593233073341,0.09065029002734916
toe_pre_topple_long,toe_E5_C,evaluation,1,arima_arma11,zero_change,76,0.0498424699813803,3,1000,170,0.03315230684974037,0.06668591736882541
toe_pre_topple_long,toe_E5_C,evaluation,1,arima_mean,zero_change,70,0.06902932402881777,3,1000,170,0.04901993454023681,0.09097624831419582
toe_pre_topple_long,toe_E5_C,evaluation,1,arimax_ar1_rain_lag2,zero_change,75,0.06554589525953163,3,1000,170,0.04423972203990423,0.09014194074550042
toe_pre_topple_long,toe_E5_C,evaluation,1,expanding_median,zero_change,76,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,evaluation,1,persistence,zero_change,76,0.08815789473684212,3,1000,170,0.051315789473684224,0.1263486842105263
toe_pre_topple_long,toe_E5_C,evaluation,1,prior_year_same_date,zero_change,70,0.07714285714285714,3,1000,170,0.03135714285714286,0.13003571428571428
toe_pre_topple_long,toe_E5_C,evaluation,1,zero_change,zero_change,76,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,evaluation,2,arima_ar1,zero_change,76,0.07046254236984448,3,1000,170,0.04631988602209524,0.09786629535624314
toe_pre_topple_long,toe_E5_C,evaluation,2,arima_ar2,zero_change,76,0.062288546946117164,3,1000,170,0.0380198180332208,0.0905029172880735
toe_pre_topple_long,toe_E5_C,evaluation,2,arima_arma11,zero_change,76,0.04407181667843002,3,1000,170,0.027443822203532187,0.06261560128632382
toe_pre_topple_long,toe_E5_C,evaluation,2,arima_mean,zero_change,70,0.06398065241071191,3,1000,170,0.0424513862270149,0.08405886433573877
toe_pre_topple_long,toe_E5_C,evaluation,2,arimax_ar1_rain_lag2,zero_change,75,0.05450408167576073,3,1000,170,0.031205210434012018,0.07713556556968977
toe_pre_topple_long,toe_E5_C,evaluation,2,expanding_median,zero_change,76,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,evaluation,2,persistence,zero_change,76,0.09605263157894739,3,1000,170,0.05526315789473687,0.14473684210526314
toe_pre_topple_long,toe_E5_C,evaluation,2,prior_year_same_date,zero_change,71,0.06619718309859156,3,1000,170,0.030950704225352118,0.10566901408450702
toe_pre_topple_long,toe_E5_C,evaluation,2,zero_change,zero_change,76,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,evaluation,7,arima_ar1,zero_change,72,0.0524114812366809,3,1000,170,0.03183245871329257,0.07212756496394829
toe_pre_topple_long,toe_E5_C,evaluation,7,arima_ar2,zero_change,72,0.04707954036144256,3,1000,170,0.027505705569136823,0.06681493084408438
toe_pre_topple_long,toe_E5_C,evaluation,7,arima_arma11,zero_change,72,0.038931293773651045,3,1000,170,0.019955099192219324,0.05608111704053256
toe_pre_topple_long,toe_E5_C,evaluation,7,arima_mean,zero_change,66,0.06848490126281344,3,1000,170,0.041682336029764254,0.0917567886500016
toe_pre_topple_long,toe_E5_C,evaluation,7,expanding_median,zero_change,72,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,evaluation,7,persistence,zero_change,72,0.09027777777777779,3,1000,170,0.04996527777777778,0.1375
toe_pre_topple_long,toe_E5_C,evaluation,7,prior_year_same_date,zero_change,66,0.1318181818181818,3,1000,170,0.07875,0.20454545454545456
toe_pre_topple_long,toe_E5_C,evaluation,7,zero_change,zero_change,72,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,selection,1,arima_ar1,zero_change,120,-0.041503257568554,3,1000,170,-0.17644863268843403,0.04729247780776586
toe_pre_topple_long,toe_E5_C,selection,1,arima_ar2,zero_change,119,-0.05583435094790124,3,1000,170,-0.2564654217224209,0.0544556167867001
toe_pre_topple_long,toe_E5_C,selection,1,arima_arma11,zero_change,120,-0.0683009064559115,3,1000,170,-0.2524614839772249,0.04086681887156951
toe_pre_topple_long,toe_E5_C,selection,1,arima_mean,zero_change,112,0.01677029532964108,3,1000,170,-0.0033837307823144204,0.035068611343413165
toe_pre_topple_long,toe_E5_C,selection,1,arimax_ar1_rain_lag2,zero_change,119,-0.05227008433941627,3,1000,170,-0.20167720075312587,0.03670639998665567
toe_pre_topple_long,toe_E5_C,selection,1,expanding_median,zero_change,122,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,selection,1,persistence,zero_change,122,-0.057377049180327905,3,1000,170,-0.26232581967213175,0.0897848360655745
toe_pre_topple_long,toe_E5_C,selection,1,prior_year_same_date,zero_change,117,0.29914529914529914,3,1000,170,0.03758547008547006,0.7169658119658119
toe_pre_topple_long,toe_E5_C,selection,1,zero_change,zero_change,122,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,selection,2,arima_ar1,zero_change,119,0.0037264634111903745,3,1000,170,-0.06450411736618013,0.054587637342190666
toe_pre_topple_long,toe_E5_C,selection,2,arima_ar2,zero_change,118,-0.003208116302126727,3,1000,170,-0.11603499158800755,0.065681253585248
toe_pre_topple_long,toe_E5_C,selection,2,arima_arma11,zero_change,119,-0.029779670414953267,3,1000,170,-0.16489514380075726,0.04840627108632692
toe_pre_topple_long,toe_E5_C,selection,2,arima_mean,zero_change,111,0.02911614163434676,3,1000,170,0.0064435800071578325,0.05163516230530493
toe_pre_topple_long,toe_E5_C,selection,2,arimax_ar1_rain_lag2,zero_change,117,0.0006316761451262424,3,1000,170,-0.07762951252028892,0.05424272025024531
toe_pre_topple_long,toe_E5_C,selection,2,expanding_median,zero_change,121,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,selection,2,persistence,zero_change,121,0.034710743801653815,3,1000,170,-0.10123966942148627,0.14753099173553902
toe_pre_topple_long,toe_E5_C,selection,2,prior_year_same_date,zero_change,117,0.19871794871794957,3,1000,170,0.05853632478632692,0.4008974358974367
toe_pre_topple_long,toe_E5_C,selection,2,zero_change,zero_change,121,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,selection,7,arima_ar1,zero_change,113,0.006861584607625778,3,1000,170,-0.031067203951825245,0.037624495703597396
toe_pre_topple_long,toe_E5_C,selection,7,arima_ar2,zero_change,112,-0.021506401426693838,3,1000,170,-0.11387092281013096,0.03423768087606012
toe_pre_topple_long,toe_E5_C,selection,7,arima_arma11,zero_change,113,-0.07354875557128782,3,1000,170,-0.26896292858353227,0.027348046254234922
toe_pre_topple_long,toe_E5_C,selection,7,arima_mean,zero_change,105,0.021702080552942836,3,1000,170,0.0016682398059317538,0.04644718268816421
toe_pre_topple_long,toe_E5_C,selection,7,expanding_median,zero_change,115,0.0,3,1000,170,0.0,0.0
toe_pre_topple_long,toe_E5_C,selection,7,persistence,zero_change,115,0.07913043478260871,3,1000,170,-0.11827173913043455,0.2239456521739132
toe_pre_topple_long,toe_E5_C,selection,7,prior_year_same_date,zero_change,113,0.19115044247787533,3,1000,170,0.05929203539822954,0.4407190265486709
toe_pre_topple_long,toe_E5_C,selection,7,zero_change,zero_change,115,0.0,3,1000,170,0.0,0.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,1,arima_ar1,zero_change,26,-0.09894406391578556,3,1000,170,-0.24693409778037584,0.0910377826251575
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,1,arima_ar2,zero_change,26,-0.09246307433502572,3,1000,170,-0.22608031757832314,0.07113715371898059
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,1,arima_arma11,zero_change,26,-0.0999539045000699,3,1000,170,-0.234073543711651,0.05141028996096051
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,1,arima_mean,zero_change,24,0.03778834496203818,3,1000,170,0.014730069350465436,0.06836654272572978
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,1,arimax_ar1_rain_lag2,zero_change,25,-0.11203582027212879,3,1000,170,-0.2393074539388456,0.08661847150650506
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,1,expanding_median,zero_change,26,0.0,3,1000,170,0.0,0.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,1,persistence,zero_change,26,-0.06153846153846132,3,1000,170,-0.1654807692307688,0.11548076923076918
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,1,prior_year_same_date,zero_change,25,0.064,3,1000,170,4.440892098500626e-18,0.144
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,1,zero_change,zero_change,26,0.0,3,1000,170,0.0,0.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,2,arima_ar1,zero_change,26,-0.12256142451214448,3,1000,170,-0.24635082086136492,0.0477725781846484
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,2,arima_ar2,zero_change,26,-0.17227713686687968,3,1000,170,-0.34564659933232017,0.04912850786767617
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,2,arima_arma11,zero_change,26,-0.1446674594534221,3,1000,170,-0.29771777043945835,0.03635729950206778
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,2,arima_mean,zero_change,24,0.015595701895890426,3,1000,170,-0.021676687461995286,0.05292568891446296
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,2,arimax_ar1_rain_lag2,zero_change,25,-0.15672072669041398,3,1000,170,-0.3352021530663021,0.055649941437901765
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,2,expanding_median,zero_change,26,0.0,3,1000,170,0.0,0.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,2,persistence,zero_change,26,-0.16153846153846152,3,1000,170,-0.3309615384615385,0.09230769230769233
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,2,prior_year_same_date,zero_change,26,0.0038461538461538433,3,1000,170,-0.0769230769230769,0.06932692307692298
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,2,zero_change,zero_change,26,0.0,3,1000,170,0.0,0.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,7,arima_ar1,zero_change,25,-0.0076427426783784065,3,1000,170,-0.047908270882624795,0.04707611459195112
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,7,arima_ar2,zero_change,25,-0.0471787781359481,3,1000,170,-0.11455900343805402,0.03815495801629787
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,7,arima_arma11,zero_change,25,0.01940216700191232,3,1000,170,-0.021416019629392873,0.03021536589735513
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,7,arima_mean,zero_change,23,0.02690516044895715,3,1000,170,0.003048415840063797,0.05781511321503698
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,7,expanding_median,zero_change,25,0.0,3,1000,170,0.0,0.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,7,persistence,zero_change,25,0.04000000000000102,3,1000,170,-0.0761,0.08800000000000001
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,7,prior_year_same_date,zero_change,24,0.05833333333333334,3,1000,170,0.01666666666666668,0.11666666666666665
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,7,zero_change,zero_change,25,0.0,3,1000,170,0.0,0.0
