window_id,target_id,window_role,stage,model_id,model_family,horizon_days,nominal_level,point_forecast_count,interval_forecast_count,interval_availability_fraction,empirical_coverage,average_width,mean_winkler_score
middle_stable_2009_2016,mid_E2_B,primary,selection,arima_ar2,ARIMA,2,0.8,85,85,1.0,0.8705882352941177,0.9565388509942323,1.8777578948005558
middle_stable_2009_2016,mid_E2_B,primary,selection,arima_ar2,ARIMA,7,0.8,81,81,1.0,0.8888888888888888,1.3021458409527225,1.534512500563327
middle_stable_2009_2016,mid_E2_B,primary,selection,arima_arma11,ARIMA,1,0.8,85,85,1.0,0.8470588235294118,0.7995842461651839,2.1708955939155463
middle_stable_2009_2016,mid_E2_B,primary,selection,arima_arma11,ARIMA,2,0.8,85,85,1.0,0.8588235294117647,0.9146756992873246,1.9074013752575643
middle_stable_2009_2016,mid_E2_B,primary,selection,arima_arma11,ARIMA,7,0.8,81,81,1.0,0.8888888888888888,1.216872916229679,1.4352897657050054
middle_stable_2009_2016,mid_E2_B,primary,selection,arima_mean,ARIMA,1,0.8,82,82,1.0,0.8292682926829268,1.4102529632880274,2.768956690769832
middle_stable_2009_2016,mid_E2_B,primary,selection,arima_mean,ARIMA,2,0.8,82,82,1.0,0.8536585365853658,1.4102529632880274,2.640730807918262
middle_stable_2009_2016,mid_E2_B,primary,selection,arima_mean,ARIMA,7,0.8,78,78,1.0,0.8589743589743589,1.415361296084581,2.267700859629653
middle_stable_2009_2016,mid_E2_B,primary,selection,expanding_median,baseline,1,0.8,85,55,0.6470588235294118,0.9454545454545454,0.4387272727272778,0.4896363636363697
middle_stable_2009_2016,mid_E2_B,primary,selection,expanding_median,baseline,2,0.8,85,55,0.6470588235294118,0.8909090909090909,0.5360000000000043,0.5923636363636424
middle_stable_2009_2016,mid_E2_B,primary,selection,expanding_median,baseline,7,0.8,81,51,0.6296296296296297,0.8627450980392157,0.5274509803921622,0.6490196078431433
middle_stable_2009_2016,mid_E2_B,primary,selection,persistence,baseline,1,0.8,85,55,0.6470588235294118,0.8363636363636363,0.496181818181817,0.6634545454545546
middle_stable_2009_2016,mid_E2_B,primary,selection,persistence,baseline,2,0.8,85,55,0.6470588235294118,0.8727272727272727,0.5663636363636405,0.7845454545454502
middle_stable_2009_2016,mid_E2_B,primary,selection,persistence,baseline,7,0.8,81,51,0.6296296296296297,0.8431372549019608,0.5454901960784394,0.851372549019613
middle_stable_2009_2016,mid_E2_B,primary,selection,prior_year_same_date,baseline,1,0.8,81,51,0.6296296296296297,0.8431372549019608,0.7674509803921606,2.640000000000006
middle_stable_2009_2016,mid_E2_B,primary,selection,prior_year_same_date,baseline,2,0.8,79,49,0.620253164556962,0.7959183673469388,0.6620408163265376,4.190612244897963
middle_stable_2009_2016,mid_E2_B,primary,selection,prior_year_same_date,baseline,7,0.8,76,46,0.6052631578947368,0.8695652173913043,0.747391304347829,3.6669565217391282
middle_stable_2009_2016,mid_E2_B,primary,selection,zero_change,baseline,1,0.8,85,55,0.6470588235294118,0.9454545454545454,0.4387272727272778,0.4896363636363697
